filename,rows,columns,time,clauses
m6_n11_s4.txt,6,11,0.05016589164733887,5376
m18_n16_s7.txt,18,16,6.197752952575684,998368
m14_n15_s5.txt,14,15,2.112042188644409,302700
m5_n20_s2.txt,5,20,0.11229515075683594,17544
m13_n11_s6.txt,13,11,0.8994932174682617,126204
m15_n14_s1.txt,15,14,2.954418182373047,486720
m19_n17_s3.txt,19,17,9.15026593208313,1518640
m15_n13_s8.txt,15,13,2.0056071281433105,290932
m12_n10_s2.txt,12,10,0.5162351131439209,71616
m7_n17_s9.txt,7,17,0.3141498565673828,47348
m5_n9_s3.txt,5,9,0.02704787254333496,3468
m15_n5_s4.txt,15,5,0.3018209934234619,41580
m17_n14_s10.txt,17,14,4.561773061752319,710424
m5_n7_s6.txt,5,7,0.014691829681396484,2244
m13_n7_s6.txt,13,7,0.4328019618988037,67896
m12_n8_s8.txt,12,8,0.36191892623901367,45672
m18_n8_s10.txt,18,8,1.3075871467590332,161940
m13_n9_s3.txt,13,9,0.7032210826873779,95852
m10_n18_s4.txt,10,18,1.2481358051300049,149744
m5_n18_s6.txt,5,18,0.10655522346496582,13872
m20_n9_s5.txt,20,9,2.3900787830352783,286956
m20_n12_s2.txt,20,12,5.092232942581177,749016
m9_n14_s10.txt,9,14,0.455517053604126,44376
m8_n14_s5.txt,8,14,0.3105306625366211,44436
m16_n13_s6.txt,16,13,2.1715400218963623,197760
m11_n17_s5.txt,11,17,1.4257161617279053,194252
m5_n16_s3.txt,5,16,0.0819711685180664,10788
m9_n15_s1.txt,9,15,0.5548908710479736,65568
m10_n11_s8.txt,10,11,0.3999969959259033,44424
m17_n12_s2.txt,17,12,3.0870959758758545,443804
m18_n20_s6.txt,18,20,9.349369049072266,1140404
m10_n16_s1.txt,10,16,0.9514920711517334,145512
m9_n12_s8.txt,9,12,0.23654890060424805,17408
m7_n6_s5.txt,7,6,0.03792691230773926,5920
m20_n7_s1.txt,20,7,1.7342891693115234,284760
m17_n12_s3.txt,17,12,2.810497760772705,431740
m10_n11_s9.txt,10,11,0.3386960029602051,41168
m5_n16_s2.txt,5,16,0.06683087348937988,9540
m15_n10_s10.txt,15,10,1.3182923793792725,196068
m7_n6_s4.txt,7,6,0.040318965911865234,6100
m9_n12_s9.txt,9,12,0.3681669235229492,51668
m18_n20_s7.txt,18,20,8.95504093170166,1338748
m16_n13_s7.txt,16,13,2.6862010955810547,451368
m5_n9_s10.txt,5,9,0.019819974899291992,2704
m8_n14_s4.txt,8,14,0.2265019416809082,24696
m11_n17_s4.txt,11,17,1.110131025314331,140724
m11_n19_s1.txt,11,19,1.544527292251587,217676
m10_n18_s5.txt,10,18,1.0202369689941406,159280
m7_n8_s1.txt,7,8,0.05171012878417969,7268
m20_n12_s3.txt,20,12,4.575860977172852,731320
m20_n9_s4.txt,20,9,2.2573299407958984,345980
m5_n18_s7.txt,5,18,0.09203982353210449,16368
m7_n18_s10.txt,7,18,0.2848680019378662,38736
m13_n9_s2.txt,13,9,0.6927380561828613,122848
m6_n17_s10.txt,6,17,0.16066408157348633,27616
m11_n6_s10.txt,11,6,0.1045389175415039,7560
m12_n8_s9.txt,12,8,0.4127829074859619,69264
m6_n5_s10.txt,6,5,0.01350092887878418,1824
m13_n7_s7.txt,13,7,0.41880202293395996,70092
m5_n7_s7.txt,5,7,0.013160228729248047,1980
m20_n15_s10.txt,20,15,6.864937782287598,1058712
m15_n5_s5.txt,15,5,0.3113129138946533,47128
m19_n18_s10.txt,19,18,8.845891952514648,1226340
m5_n9_s2.txt,5,9,0.017336130142211914,1896
m19_n17_s2.txt,19,17,8.713564157485962,1506824
m11_n8_s1.txt,11,8,0.18211889266967773,10188
m7_n10_s1.txt,7,10,0.08554911613464355,11640
m7_n17_s8.txt,7,17,0.24133014678955078,31220
m12_n10_s3.txt,12,10,0.6373381614685059,95184
m15_n13_s9.txt,15,13,1.9829399585723877,282156
m14_n15_s4.txt,14,15,1.9379551410675049,241296
m10_n20_s1.txt,10,20,1.3903162479400635,202152
m18_n16_s6.txt,18,16,4.879347085952759,629772
m8_n9_s1.txt,8,9,0.08888387680053711,9000
m6_n11_s5.txt,6,11,0.057096004486083984,8016
m13_n11_s7.txt,13,11,1.0114240646362305,174308
m5_n20_s3.txt,5,20,0.1058812141418457,16732
m6_n18_s9.txt,6,18,0.16148710250854492,22440
m18_n17_s10.txt,18,17,6.276068925857544,927960
m18_n18_s3.txt,18,18,8.560819149017334,1471416
m8_n7_s4.txt,8,7,0.06214404106140137,7584
m11_n6_s4.txt,11,6,0.16344189643859863,26616
m18_n5_s6.txt,18,5,0.4161977767944336,50880
m19_n19_s7.txt,19,19,10.052446842193604,1555772
m5_n5_s2.txt,5,5,0.0056188106536865234,360
m15_n9_s5.txt,15,9,0.9906392097473145,158168
m12_n12_s6.txt,12,12,0.6906518936157227,86280
m19_n15_s7.txt,19,15,6.4246320724487305,1033008
m18_n9_s6.txt,18,9,1.5809710025787354,219384
