filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,unigen_time,num_samples
m5_n5_s5_k1_loss0.2_a0.001_b0.01.B,5,5,4,4,192,31358,0.21803545951843262,6.336219549179077,100
m5_n14_s1_k1_loss0.2_a0.001_b0.01.B,5,14,4,12,932,280745,1.8911464214324951,17.712615728378296,-1
m5_n14_s4_k1_loss0.1_a0.001_b0.01.B,5,14,4,12,937,280750,1.9252240657806396,17.861104249954224,-1
m5_n6_s4_k1_loss0.2_a0.001_b0.01.B,5,6,4,5,246,46812,0.29189467430114746,18.37969660758972,108
m5_n9_s1_k1_loss0.1_a0.001_b0.01.B,5,9,4,8,446,111546,0.7443978786468506,46.807377338409424,108
m5_n7_s2_k1_loss0.1_a0.001_b0.01.B,5,7,4,6,308,65328,0.4522073268890381,16.047547578811646,108
m5_n11_s3_k1_loss0.2_a0.001_b0.01.B,5,11,4,9,637,170066,1.1765542030334473,49.90800166130066,107
m5_n6_s5_k1_loss0.1_a0.001_b0.01.B,5,6,4,5,247,46812,0.3459765911102295,19.982056140899658,106
m5_n7_s5_k1_loss0.1_a0.001_b0.01.B,5,7,4,6,308,65328,0.4160895347595215,28.73129963874817,108
m5_n13_s2_k1_loss0.1_a0.001_b0.01.B,5,13,4,11,832,240793,1.7213993072509766,14.120494842529297,-1
m5_n8_s3_k1_loss0.2_a0.001_b0.01.B,5,8,4,7,375,86906,0.6517078876495361,40.35506629943848,108
m5_n5_s2_k1_loss0.1_a0.001_b0.01.B,5,5,4,4,193,31358,0.22052907943725586,7.857852458953857,106
m5_n9_s2_k1_loss0.2_a0.001_b0.01.B,5,9,4,8,446,111546,0.8179771900177002,30.073885202407837,108
m5_n15_s5_k1_loss0.2_a0.001_b0.01.B,5,15,4,12,1055,323801,2.280182361602783,15.695643901824951,-1
m5_n5_s1_k1_loss0.1_a0.001_b0.01.B,5,5,4,4,192,31358,0.24801349639892578,2263.0051548480988,108
m5_n13_s1_k1_loss0.1_a0.001_b0.01.B,5,13,4,11,831,240792,0.8891172409057617,8.717074871063232,-1
m5_n15_s4_k1_loss0.2_a0.001_b0.01.B,5,15,4,12,1060,323805,1.0777206420898438,14.22624397277832,-1
m5_n5_s3_k1_loss0.2_a0.001_b0.01.B,5,5,4,4,192,31358,0.1680765151977539,9.022413730621338,108
m5_n8_s5_k1_loss0.1_a0.001_b0.01.B,5,8,4,7,377,86906,0.46353745460510254,31.0290789604187,108
m5_n8_s4_k1_loss0.2_a0.001_b0.01.B,5,8,4,7,374,86906,0.5133719444274902,21.731276273727417,108
m5_n15_s3_k1_loss0.1_a0.001_b0.01.B,5,15,4,12,1057,323803,1.9299530982971191,16.316654920578003,-1
m5_n14_s2_k1_loss0.1_a0.001_b0.01.B,5,14,4,12,936,280749,1.4893121719360352,13.030128240585327,-1
m5_n7_s1_k1_loss0.1_a0.001_b0.01.B,5,7,4,6,308,65328,0.3532984256744385,24.107903480529785,108
m5_n14_s5_k1_loss0.2_a0.001_b0.01.B,5,14,4,12,934,280747,1.8978681564331055,16.618292570114136,-1
m5_n11_s5_k1_loss0.1_a0.001_b0.01.B,5,11,4,9,637,170066,1.0592601299285889,60.019843101501465,108
m5_n12_s1_k1_loss0.1_a0.001_b0.01.B,5,12,4,10,728,203898,1.3109498023986816,148.8503932952881,108
m5_n11_s4_k1_loss0.2_a0.001_b0.01.B,5,11,4,9,640,170069,1.0810766220092773,65.95872640609741,108
m5_n8_s1_k1_loss0.1_a0.001_b0.01.B,5,8,4,7,374,86906,0.3834383487701416,46.316612005233765,108
m5_n5_s3_k1_loss0.1_a0.001_b0.01.B,5,5,4,4,192,31358,0.20836997032165527,10.989421367645264,107
m5_n8_s1_k1_loss0.2_a0.001_b0.01.B,5,8,4,7,374,86906,0.6064918041229248,50.962870359420776,108
m5_n14_s2_k1_loss0.2_a0.001_b0.01.B,5,14,4,12,933,280746,1.929858684539795,18.706563472747803,-1
m5_n13_s4_k1_loss0.1_a0.001_b0.01.B,5,13,4,11,833,240795,1.289872169494629,15.030035257339478,-1
m5_n9_s3_k1_loss0.2_a0.001_b0.01.B,5,9,4,8,445,111546,0.42863893508911133,31.599857330322266,108
m5_n11_s2_k1_loss0.2_a0.001_b0.01.B,5,11,4,9,640,170069,1.1571073532104492,57.64498424530029,108
m5_n15_s1_k1_loss0.2_a0.001_b0.01.B,5,15,4,12,1060,323802,2.344698667526245,24.897905111312866,-1
m5_n8_s4_k1_loss0.1_a0.001_b0.01.B,5,8,4,7,374,86906,0.5609686374664307,23.92148733139038,108
m5_n13_s3_k1_loss0.1_a0.001_b0.01.B,5,13,4,11,829,240795,1.4982666969299316,13.459761619567871,-1
m5_n12_s1_k1_loss0.2_a0.001_b0.01.B,5,12,4,10,728,203898,1.2458293437957764,150.3227038383484,108
