filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,prefix,power_of_two
m7_n5_s5_k1_loss0.2_a0.001_b0.2.B,7,5,5,4,395,107509,0.655332088470459,62,12
m7_n5_s5_k1_loss0.4_a0.001_b0.2.B,7,5,5,4,395,107509,0.6353888511657715,62,12
m7_n5_s6_k1_loss0.1_a0.001_b0.2.B,7,5,5,4,395,107509,0.6340961456298828,55,12
m7_n5_s6_k1_loss0.2_a0.001_b0.2.B,7,5,5,4,395,107509,0.6274902820587158,55,12
m7_n5_s6_k1_loss0.4_a0.001_b0.2.B,7,5,5,4,395,107509,0.631197452545166,55,12
m7_n5_s7_k1_loss0.1_a0.001_b0.2.B,7,5,5,5,357,107392,0.6371197700500488,41,9
m7_n5_s7_k1_loss0.2_a0.001_b0.2.B,7,5,5,5,357,107392,0.6287977695465088,41,9
m7_n5_s7_k1_loss0.4_a0.001_b0.2.B,7,5,5,5,388,107487,0.6360828876495361,82,12
m7_n5_s8_k1_loss0.1_a0.001_b0.2.B,7,5,3,3,409,107519,0.6394467353820801,92,1
m7_n5_s8_k1_loss0.2_a0.001_b0.2.B,7,5,3,3,409,107519,0.6386632919311523,92,1
m7_n5_s8_k1_loss0.4_a0.001_b0.2.B,7,5,3,3,409,107519,0.6310250759124756,92,1
m7_n5_s9_k1_loss0.1_a0.001_b0.2.B,7,5,5,4,398,107517,0.6460349559783936,52,15
m7_n5_s9_k1_loss0.2_a0.001_b0.2.B,7,5,5,4,398,107517,0.6470105648040771,52,15
m7_n5_s9_k1_loss0.4_a0.001_b0.2.B,7,5,5,4,398,107517,0.6326444149017334,52,15
m8_n5_s10_k1_loss0.1_a0.001_b0.2.B,8,5,4,4,471,171099,1.092289924621582,88,6
m8_n5_s10_k1_loss0.2_a0.001_b0.2.B,8,5,4,4,471,171099,0.9877033233642578,88,6
m8_n5_s10_k1_loss0.4_a0.001_b0.2.B,8,5,4,4,471,171099,0.9960589408874512,88,6
m8_n5_s1_k1_loss0.1_a0.001_b0.2.B,8,5,4,4,471,171099,1.0004260540008545,48,13
m8_n5_s1_k1_loss0.2_a0.001_b0.2.B,8,5,4,4,471,171099,0.9993124008178711,48,13
m8_n5_s1_k1_loss0.4_a0.001_b0.2.B,8,5,4,4,471,171099,0.995166540145874,48,13
m8_n5_s2_k1_loss0.1_a0.001_b0.2.B,8,5,5,5,501,171121,0.9906411170959473,72,18
m8_n5_s2_k1_loss0.2_a0.001_b0.2.B,8,5,5,5,511,171150,1.005643367767334,53,18
m8_n5_s2_k1_loss0.4_a0.001_b0.2.B,8,5,5,5,511,171150,1.0052804946899414,53,18
m8_n5_s3_k1_loss0.1_a0.001_b0.2.B,8,5,5,4,472,171103,1.056401014328003,78,10
m8_n5_s3_k1_loss0.2_a0.001_b0.2.B,8,5,5,4,472,171103,1.0389819145202637,78,10
m8_n5_s3_k1_loss0.4_a0.001_b0.2.B,8,5,5,4,472,171103,1.043074607849121,78,10
m8_n5_s4_k1_loss0.1_a0.001_b0.2.B,8,5,4,3,463,171046,1.0073144435882568,70,5
m8_n5_s4_k1_loss0.2_a0.001_b0.2.B,8,5,4,3,478,171093,1.028693675994873,34,0
m8_n5_s4_k1_loss0.4_a0.001_b0.2.B,8,5,4,3,478,171093,1.0047409534454346,34,0
m8_n5_s5_k1_loss0.1_a0.001_b0.2.B,8,5,3,2,518,171145,0.9792325496673584,53,2
m8_n5_s5_k1_loss0.2_a0.001_b0.2.B,8,5,3,2,518,171145,0.993743896484375,53,2
m8_n5_s5_k1_loss0.4_a0.001_b0.2.B,8,5,3,2,518,171145,1.001603603363037,53,2
